item_id,ingredient_name,confidence
24932147,pathfinder amaro,0.95
24932146,gin,0.8
24932145,amalfi spritz,0.95
24932145,lyre's,0.8
24932165,"athenais de beru, 'love joy', chardonnay",0.9
24932150,blood orange,0.9
24932124,blueberry,0.9
24932124,butter,0.7
24932124,cream,0.6
24932124,pastry,0.8
24932124,sugar,0.7
24932123,braised oxtails,0.95
24932123,sauce,0.7
24932123,shishito peppers,0.8
24932123,sungold tomato,0.85
24932166,,0.95
24932164,moscato,0.8
24932163,glera,0.7
24932163,verdiso,0.7
24932110,castelvetrano olives,0.95
24932110,chili flake,0.7
24932110,rosemary,0.8
24932112,cheese,0.9
24932112,crostini,0.8
24932112,raspberry jam,0.8
24932112,toasted nuts,0.7
24932113,bread,0.8
24932113,cherries,0.7
24932113,chicken liver,0.9
24932119,chile,0.75
24932119,chrysanthemum greens,0.85
24932119,lime,0.9
24932119,snap peas,0.8
24932119,watermelon,0.95
24932121,basil,0.85
24932121,cream,0.75
24932121,garlic,0.85
24932121,green onions,0.8
24932121,gruyere,0.8
24932121,mushrooms,0.9
24932144,barley,0.75
24932144,"dust bowl brewing, hazy ipa",0.9
24932144,hops,0.8
24932144,yeast,0.7
24932143,"faction, pale ale",0.95
24932122,capers,0.7
24932122,garlic sausage,0.95
24932122,mozzarella,0.9
24932122,red sauce,0.9
24932122,zucchini,0.8
24932148,ginger ale,0.95
24932151,grapefruit,0.9
24932151,san pellegrino,0.75
24932115,early girl tomatoes,0.8
24932115,green beans,0.9
24932115,sweet peppers,0.75
24932117,heirloom beans,0.85
24932117,sicilian olive oil,0.8
24932117,watermelon radish,0.7
24932111,butter,0.7
24932111,cherry,0.8
24932133,dolcetto,0.75
24932133,grignolino,0.75
24932133,nebbiolo,0.75
24932135,kristinus,0.9
24932135,siller,0.9
24932135,zweigelt,0.9
24932114,broth,0.5
24932114,cilantro,0.8
24932114,halibut,0.9
24932114,korean melon,0.6
24932114,serrano chile,0.7
24932109,maple,0.9
24932109,nuts,0.9
24932109,sea salt,0.8
24932157,champagne,0.9
24932157,grapes,0.8
24932116,cherry tomato,0.9
24932116,cucumber,0.95
24932116,purslane,0.8
24932116,sesame,0.7
24932116,za'atar,0.75
24932127,raboso fiore,0.9
24932108,port,0.8
24932141,tokaji aszú,0.9
24932126,"paul dethune, 'ambonnay', grand cru brut champagne",0.95
24932159,"paul déthune, premier cru rosé",0.95
24932153,"ration ale, citrus hazy ipa na",0.8
24932149,root beer,0.9
24932136,grape,0.8
24932136,pinotage,0.95
24932152,sparkling water,0.95
24932118,burrata,0.8
24932118,pesto,0.7
24932118,stone fruit,0.7
24932118,walnuts,0.7
24932120,arrowhead cabbage,0.8
24932120,mission figs,0.8
24932120,salsa macha,0.7
24932120,sweet corn,0.9
24932132,olaszrizling,0.8
24932125,apricot,0.8
24932125,cream,0.6
24932125,milk,0.7
24932125,sugar,0.5
24932125,tres leches cake,0.9
24932161,"van hunks, cap classique brut",0.9
24932140,vermouth,0.8
24932140,veso nightfall on the rocks,0.95
24932139,veso solstice & soda,0.9
24932128,grüner veltliner,0.9
24932167,feliz creek,0.9
24932167,pet-nat carignan,0.9
24932167,woods wine,0.9
25604182,focaccia,0.9
25604182,olive oil,0.8
25604182,rosemary,0.9
25604182,tallegio cheese,0.7
25604156,artichokes,0.85
25604156,burrata,0.95
25604156,cherry tomatoes,0.8
25604156,kumquat,0.65
25604156,potato,0.75
25604156,sunflower,0.5
25604156,truffle vinaigrette,0.6
25604159,asparagus,0.9
25604159,crème fraîche,0.8
25604159,essex gouda,0.8
25604159,morel mushrooms,0.9
25604164,asparagus,0.9
25604164,green garlic,0.7
25604164,prosciutto,0.8
25604164,shishito peppers,0.7
25604183,butter beans,0.8
25604183,carrot,0.8
25604183,chimichurri,0.7
25604183,pumpkin seed,0.7
25604183,ramp,0.6
25604183,spanish octopus,0.9
25604183,tapenade,0.6
25604240,buttermilk,0.8
25604240,cherries,0.7
25604240,crab,0.9
25604240,hamachi,0.9
25604240,thai basil,0.8
25604240,yuzu,0.8
25604184,buttermilk,0.7
25604184,cherry,0.8
25604184,crab,0.9
25604184,hamachi,0.9
25604184,namasu,0.8
25604184,ogo,0.6
25604184,thai basil,0.7
25604184,yuzu,0.7
25604197,blueberries,0.9
25604197,coconut milk,0.9
25604197,granola,0.8
25604197,hojicha,0.8
25604197,lime,0.8
25604197,matcha,0.7
25604197,mousse,0.8
25604197,panna cotta,0.9
25604197,pine nut,0.7
25604244,blueberry,0.7
25604244,hojicha,0.8
25604244,panna cotta,0.8
25604244,passion fruit,0.7
25604244,pine nut granola,0.6
25604244,rhubarb,0.7
25604181,lobster,0.9
25604181,pea tendrils,0.7
25604181,reggiano,0.65
25604181,risotto,0.8
25604181,yuzu,0.55
25604242,fiddlehead,0.75
25604242,lobster,0.9
25604242,maine diver scallop,0.9
25604242,nage,0.6
25604242,rock shrimp,0.85
25604242,wild rice,0.8
25604187,cherry tomatoes,0.8
25604187,maine lobster,0.9
25604187,parmigiano reggiano,0.8
25604187,pea tendrils,0.8
25604187,risotto,0.9
25604187,yuzu,0.7
25604165,avocado,0.85
25604165,baby radish,0.9
25604165,feta,0.8
25604165,nori ranch,0.7
25604243,black currant,0.7
25604243,celeriac,0.8
25604243,delta asparagus,0.8
25604243,napa lamb loin,0.9
25604243,olive jus,0.7
25604188,fiddlehead,0.6
25604188,green garlic,0.7
25604188,lobster,0.8
25604188,nage,0.5
25604188,rock shrimp,0.8
25604188,wild rice,0.7
25604192,benne,0.55
25604192,brussels sprouts,0.85
25604192,butter,0.75
25604192,pepper,0.75
25604192,salt,0.75
25604192,smoked date,0.75
25604192,tamarind,0.65
25604241,crostini,0.8
25604241,reserve caviar,0.9
25604241,santa barbara uni,0.9
25604241,trout roe,0.9
25604241,yuzu tobiko,0.8
25604179,caviar,0.8
25604179,crostini,0.6
25604179,trout roe,0.7
25604179,uni,0.9
25604179,yuzu tobiko,0.7
25604189,beans,0.6
25604189,broccolini,0.65
25604189,ginger,0.8
25604189,kumquat,0.7
25604189,pork chop,0.9
25604239,arancini,0.7
25604239,kabocha squash,0.8
25604239,radish,0.7
25604239,smoked aioli,0.8
25604239,tempura oyster,0.9
25604238,a5 omi beef,0.9
25604238,pepper,0.7
25604238,salt,0.7
25604218,"4 fruit black, oolong caramel",0.9
25604218,black tea,0.8
25604218,caramel,0.6
25604218,fruits,0.55
25604218,oolong tea,0.7
25604180,black vinegar,0.8
25604180,chili crunch,0.85
25604180,miyazaki dumpling,0.9
25604162,brown rice vinegar,0.8
25604162,chili crunch,0.9
25604162,dumpling,0.85
25604216,americano,0.9
25604222,artichokes,0.9
25604222,kumquat,0.8
25604222,smoked potato,0.8
25604222,truffle vinaigrette,0.7
25604270,brut rosé,0.9
25604270,champagne,0.9
25604270,france,0.7
25604269,brut,0.7
25604269,champagne,0.9
25604269,france,0.8
25604277,"brut, dom pérignon, champagne, france, 2010",0.95
25604230,artichokes,0.9
25604230,burrata,0.85
25604230,kumquat,0.75
25604230,smoked potato,0.8
25604230,summer truffle vinaigrette,0.7
25604231,butter beans,0.9
25604231,chimichurri,0.8
25604231,morel mushroom,0.9
25604231,ramp,0.9
25604231,summer truffle,0.8
25604223,butter beans,0.9
25604223,morel mushroom,0.8
25604223,pumpkin seed,0.8
25604223,romesco,0.7
25604223,truffle,0.8
25604225,black perigord truffle,0.7
25604225,casarecce,0.8
25604225,cauliflower,0.9
25604225,san marzano tomatoes,0.75
25604194,black sesame,0.7
25604194,candied almonds,0.8
25604194,chocolate soufflé cake,0.95
25604194,cranberry amaretto ice cream,0.85
25604194,griottes anglaise,0.75
25604168,aptenia,0.5
25604168,radish,0.8
25604168,smoked aioli,0.7
25604168,wellfleet oysters,0.9
25604169,black trumpet mushrooms,0.8
25604169,green garlic,0.8
25604169,pablano pepper,0.7
25604169,potato,0.9
25604169,prosciutto,0.7
25604169,sauerkraut sprouts,0.6
25604172,chanterelle,0.9
25604172,perigord truffle,0.9
25604172,risotto,0.95
25604172,truffle butter,0.85
25604170,parmesan cheese,0.7
25604170,porcini mushrooms,0.8
25604170,ravioli,0.9
25604170,truffle,0.7
25604171,lemon panna,0.65
25604171,local crab,0.8
25604171,thai basil,0.7
25604171,yellow curry,0.75
25604175,brussels sprouts,0.9
25604175,butter beans,0.85
25604175,cauliflower,0.8
25604175,date,0.75
25604175,pumpkin seed,0.75
25604175,tamari marinated tofu,0.9
25604175,tamarind,0.8
25604174,alliums,0.6
25604174,asparagus,0.7
25604174,boletus jus,0.7
25604174,celery root,0.75
25604174,prime ny steak,0.8
25604173,black cod,0.9
25604173,fiddlehead ferns,0.7
25604173,lobster,0.85
25604173,new zealand spinach,0.75
25604173,wild rice,0.8
25604177,candied pecans,0.8
25604177,dark chocolate,0.9
25604177,griotte,0.7
25604176,brokaw citrus,0.7
25604176,coconut,0.8
25604176,hojicha,0.8
25604176,lime mousse,0.7
25604176,panna cotta,0.8
25604176,pine nut granola,0.7
25604178,mint,0.7
25604178,persimmon,0.9
25604178,pineapple,0.8
25604215,espresso,0.95
25604195,eureka lemon cake,0.95
25604195,kumquat,0.85
25604195,lemon curd,0.9
25604195,mascarpone,0.9
25604195,pistachio ice cream,0.8
25604193,aioli,0.75
25604193,fried soft shell crab,0.85
25604193,green tomato,0.8
25604193,ramp,0.75
25604224,garden vegetables,0.85
25604224,vegan dashi,0.75
25604224,wild rice,0.8
25604186,asparagus,0.9
25604186,crème fraîche,0.85
