menu_id,menu_category,restaurant_id
1,no proof,1
2,pet-nat & sparkling wine,1
3,dessert,1
4,mains,1
5,snacks,1
6,boards,1
7,small plates,1
8,pizza,1
9,beer,1
10,rosè,1
11,red wine,1
12,champagne,1
13,sparkling,1
14,dessert wine,1
15,white,1
16,vermouth,1
17,tuesday -thursday 5 course -extras,2
18,happy hour menu,2
19,a la carte,2
20,chefs tasting,2
21,dessert,2
22,chefs tasting - supplements,2
23,dessert - dammann freres tea,2
24,dessert - illy coffee,2
25,vegan chefs tasting,2
26,wine list - champagne by the bottle,2
27,vegetarian chefs tasting,2
28,tuesday -thursday 5 course,2
29,sweet dessert wines,2
30,dessert - fortified wines,2
31,wine list - pinot noir by the bottl,2
32,vegetarian,3
33,crispy goodies,3
34,seafood,3
35,signature sandwiches,3
36,sides & misc,3
37,loaded fries,3
38,lunch (takeout only),4
39,today's special bento box,4
40,soup,4
41,double protein,4
42,drinks,5
43,available 11-9pm,5
44,breakfast available 10-2 pm every day,5
45,especiales,5
46,breakfast scramblers,6
47,sandwiches,6
48,beverages,6
49,breakfast side order,6
50,burgers,6
51,breakfast,6
52,breakfast omelettes,6
53,"breakfast pancakes, french toast & waffles",6
54,sides,7
55,coop,7
56,pasture,7
57,sea,7
58,plains,7
59,specials,7
60,pen,7
61,garden,7
62,antigua guatemala restaurante menú para niños / antigua guatemala restaurant kid's menu,8
63,bebidas calientes / hot drinks,8
64,caldos / soups,8
65,antigua guatemala - menú principal,8
66,antojitos guatemaltecos / guatemalan cravings,8
67,desayunos a la antigua / breakfast,8
68,postres / desserts,8
69,bebidas / beverages,8
70,cajun style fish,9
71,famous shrimp,9
72,crispy chicken,9
73,cajun tenders,9
74,chicken & biscuit,9
75,pasta classica,9
76,topings,9
77,gourmet,9
78,sides,9
79,burgers & cambos,9
80,specials,9
81,juice & drinks,9
82,famous salads,9
83,classic & special,9
84,party wings,9
85,florentine steaks,9
86,famous desserts,9
87,desserts,9
88,wraps & burritos,9
89,family platters feast,9
90,combos,9
91,appetizers,9
92,dressings,9
93,pasta classicapasta classica,9
94,appetizers & salads,9
95,monthly deals,9
96,grandma lasagna,9
97,tacos,9
98,appetizers,10
99,chef's recommendations,10
100,vermicelli & noodle soup,10
101,drinks & desserts,10
102,woven rice noodle sheets,10
103,rice platters,10
104,sides,10
105,garlic noodle,10
106,pho,10
107,vegetarian,10
108,sandwiches,11
109,coffee + espresso drinks,11
110,burgers,11
111,sips,11
112,breakfast sandwiches,11
113,breakfast burritos,11
114,side kicks,11
115,salads,11
116,beer,11
117,baked,12
118,deep fried,12
119,boiled dumplings,12
120,wok & fried,12
121,dessert,12
122,bao,12
123,small plate,12
124,pan fried,12
125,salt & pepper,12
126,steamed dim sum,12
127,special combo,13
128,makimono sushi rolls,13
129,special rolls,13
130,nigiri sushi,13
131,sashimi,13
132,rice bowls,13
133,side orders,13
134,fish & chips,13
135,ceviche,13
136,soup & salads,13
137,sandwiches,13
138,main,14
139,taquitos,14
140,platos,14
141,tacos dorados,14
142,tamales,14
143,tortillas de mano,14
144,pu-erh,15
145,white,15
146,matcha & gyokuro,15
147,wholesome sweets,15
148,nourishing eats,15
149,oolong,15
150,fresh juice,15
151,hot drinks & herbal lattes,15
152,superfood smoothies,15
153,superfood smoothie bowls,15
154,black,15
155,green,15
156,pizza,16
157,antipasti,16
158,salad,16
159,dessert food,16
160,non alcoholic beverages,16
161,plates & pasta,16
162,PIATTI,16
163,fryer,17
164,starters,17
165,burgers,17
166,,17
167,pot pies,17
168,beverages,17
169,pizza,17
170,desserts,17
171,sides,17
172,kids,17
173,specials,17
174,beer online!!!*,18
175,entrees !!!*,18
176,desserts,18
177,sweet !!!*,18
178,red bottle!!!*,18
179,sides !!!*,18
180,appetizers !!!*,18
181,non-alcoholic beverages!!!*,18
182,noodle soups (pho),19
183,vietnamese gourmet sandwiches (bánh mì),19
184,vermicelli bowls,19
185,salads,19
186,wraps,19
187,beverages,19
188,entrée,20
189,dessert,20
190,appetizers / sides,20
191,drinks,20
192,temple of spuds,21
193,french toast - pancakes - waffles - circus,21
194,sandwiches,21
195,mood elevators,21
196,drinks,21
197,lunches,21
198,singles,21
199,more tracks,21
200,breakfast,21
201,quesadillas,21
202,soups,21
203,do the boogaloo,21
204,lunch sides,21
205,salads,21
206,other drinks,22
207,pastries,22
208,og drinks,22
209,toasts,22
210,breakfast burritos,22
211,signature drinks,22
212,tots,22
213,lil' breakfast,22
214,tacos,22
215,french toasts,22
216,oatmeal,22
217,"co-ferment, cider & beer",23
218,dine,23
219,cocktails,23
220,coffee & tea,23
221,cold drinks,24
222,hot drinks,24
223,tamales,24
224,main,24
225,breakfast bagel & croissant,25
226,most popular,25
227,brunch,25
228,hot/ice drinks,25
229,snacks,25
230,burritos/bowls & tacos,25
231,burritos,25
232,pastries & desserts,25
233,pastries,25
234,beverage,25
235,sandwiches,25
236,snacks & chips,25
237,salads,25
238,jar box to-go,25
239,house specials,26
240,desayuno,26
241,bagels,26
242,sides,26
243,specialty sandwiches,26
244,ensaladas,26
245,pasta linguine,26
246,quesadilla,26
247,tacos,27
248,dishes,27
249,specials,27
250,extras,27
251,sodas,27
252,breakfast,27
253,burritos,27
254,juices,27
255,soups,27
256,fresh drinks,27
257,mexican tortas,27
258,sides,28
259,dinner (cena),28
260,breakfast (desayunos),28
261,drink (bevidas),28
